school_name,address,postal_code,mrt_desc,bus_desc,latitude,longitude
PEI HWA SECONDARY SCHOOL,21   FERNVALE LINK,797702,"SENGKANG MRT, LAYAR LRT","50, 70, 86, 103, 163, 854",1.39037504993234,103.878461745339
PEI TONG PRIMARY SCHOOL,15   CLEMENTI AVENUE 5,129857,Clementi,"7, 184, 282",1.31666529308968,103.767438999533
PEICAI SECONDARY SCHOOL,10   SERANGOON AVENUE 4,556094,SERANGOON MRT,"22, 24, 43, 53, 70, 76, 103, 109, 116, 147, 156, 315, 317, 853",1.35951583222214,103.870010749055
PEIRCE SECONDARY SCHOOL,10   SIN MING WALK,575566,"ANG MO KIO MRT, BISHAN MRT, MARYMOUNT MRT, BRIGHT HILL MRT (target opening in Q3, 2021)","52, 132, 162, 163, 165, 166, 167, 410, 855, 980",1.36665944653812,103.83021606804
PEIYING PRIMARY SCHOOL,651  YISHUN RING ROAD,768687,Khatib,"851, 852, 853, 854, 855",1.41741627551251,103.830143209875
PING YI SECONDARY SCHOOL,61   CHAI CHEE STREET,468980,BEDOK MRT,"26, 222, 222B, 2, 7, 24, 25, 28, 30, 30E, 32, 33, 40, 67, 229, 854, 60, 87",1.35234365488339,103.721832320169
PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,649076,Boon Lay Station,243,1.33902264667589,103.687769623983
POI CHING SCHOOL,21   TAMPINES STREET 71,529067,Tampines MRT,"Bus 293, 72, 27 and 168",1.35765122315688,103.935246477199
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,YIO CHU KANG MRT,"45, 70, 70M, 71, 76, 86, 668, 851, 851e, 852, 853",1.38201194250223,103.843149382823
PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,659163,Bukit Batok MRT Station,"Bus 174, 157, 178, 66, 941",1.34919098857585,103.740719208011
PUNGGOL COVE PRIMARY SCHOOL,52   Sumang Walk,828674,Nibong LRT Station,"382W, 84",1.41158455562454,103.89890448429
PUNGGOL GREEN PRIMARY SCHOOL,98   Punggol Walk,828772,Punggol MRT Station,na,1.40172590450528,103.898794262307
PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,538787,"Hougang, Buangkok",62 74 88 113 147 325,1.37820062547641,103.894667159512
PUNGGOL SECONDARY SCHOOL,51   EDGEFIELD PLAINS,828870,"PUNGGOL MRT, COVE LRT","3, 34, 62, 82, 83, 85, 136, 965, 386",1.40205738421399,103.909213706482
PUNGGOL VIEW PRIMARY SCHOOL,9    Punggol Place,828845,Punggol MRT Station,50 382,1.40514582647962,103.905156371376
QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,128104,Clementi MRT Station,"30,51,78,143,285,655",1.3132658326807,103.756629101811
QIHUA PRIMARY SCHOOL,5    WOODLANDS STREET 81,738525,Woodlands MRT Station,"911, 900",1.44203596557592,103.788339762066
QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,Queenstown MRT,"32, 111, 145, 195",1.29559365009015,103.807548617332
QUEENSTOWN SECONDARY SCHOOL,1    STRATHMORE ROAD,148800,"REDHILL MRT, QUEENSTOWN MRT","33, 51, 64, 111, 120, 139, 145, 186, 970",1.29352126774652,103.813190980055
QUEENSWAY SECONDARY SCHOOL,2A   MARGARET DRIVE,149295,"COMMONWEALTH MRT, QUEENSTOWN MRT","32, 51, 93, 100, 105, 111, 122, 123, 145, 147, 153, 186, 195, 196, 198, 855, 961, 970",1.30022271592188,103.802207291625
RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,99840,Tiong Bahru MRT HarbourFront MRT,"SBS 123, 131, 275 SBS 65",1.27495823622634,103.824188270373
RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,TAN KAH KEE MRT STATION,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",1.3294042600012,103.806442915912
RAFFLES GIRLS' SCHOOL (SECONDARY),2    BRADDELL RISE,318871,"BRADDELL MRT, CALDECOTT MRT","59, 93, 129, 156, 157, 163, 231, 232, 235",1.34217479932295,103.84313404727
